group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Spanish,language,MPNet-content,0.02695728759337117,0.021821248494702853,0.01704030725162341,0.0051360390986683185,542,324535,40348,71,244,0.6728132561038199,0.3271867438961801,True,
Italian,language,MPNet-content,0.0,0.01123042950150817,0.012990863171595222,-0.012990863171595222,465,191051,24104,46,0,0.6728132561038199,0.3271867438961801,True,
German,language,MPNet-content,0.009308506203328286,0.015225637869118019,0.017124113163996913,-0.007815606960668627,534,278263,34759,69,85,0.6728132561038199,0.3271867438961801,True,
Korean,language,MPNet-content,0.02557686382416673,0.00047549069715123145,6.424778761061947e-05,0.0251013731270155,152,17434,2173,2,223,0.6728132561038199,0.3271867438961801,True,
Russian,language,MPNet-content,0.003431704262156483,0.0056296219394734,0.004821149802460398,-0.0021979176773169167,225,126389,15859,31,37,0.6728132561038199,0.3271867438961801,True,
Cantonese,language,MPNet-content,0.0,0.0011272892802239491,0.0018543806234601794,-0.0018543806234601794,138,35800,4516,10,0,0.6728132561038199,0.3271867438961801,True,
Hindi,language,MPNet-content,0.0001720328623871277,0.0010074760109972148,0.0006232364634228669,-0.0008354431486100872,125,16793,2168,6,2,0.6728132561038199,0.3271867438961801,True,
Swedish,language,MPNet-content,0.00012648920743654264,0.0007279569222875987,0.0014182373835511988,-0.0012917481761146562,132,24210,3064,11,1,0.6728132561038199,0.3271867438961801,True,
Finnish,language,MPNet-content,0.0,4.1871400951033225e-05,3.90625e-05,-4.1871400951033225e-05,88,7032,856,1,0,0.6728132561038199,0.3271867438961801,True,
Mandarin,language,MPNet-content,0.0018061800426849343,0.0023794106834011813,0.0024160919654138153,-0.000609911922728881,87,45456,5797,16,18,0.6728132561038199,0.3271867438961801,True,
Danish,language,MPNet-content,0.0,7.739938080495356e-06,0.00025833333333333334,-0.00025833333333333334,75,9394,1126,2,0,0.6728132561038199,0.3271867438961801,True,
Portuguese,language,MPNet-content,0.0,0.00034684595886481755,3.205128205128205e-05,-0.00034684595886481755,76,10683,1297,1,0,0.6728132561038199,0.3271867438961801,True,
Persian,language,MPNet-content,0.0,1.736111111111111e-05,6.578947368421052e-05,-6.578947368421052e-05,67,8836,1072,1,0,0.6728132561038199,0.3271867438961801,True,
Dutch,language,MPNet-content,0.0,0.0003304224787657218,0.0006426906426906427,-0.0006426906426906427,60,5040,625,4,0,0.6728132561038199,0.3271867438961801,True,
Polish,language,MPNet-content,0.0,0.000405264519110742,0.0005271231132933261,-0.0005271231132933261,55,8345,1061,4,0,0.6728132561038199,0.3271867438961801,True,
Standard Chinese,language,MPNet-content,0.0021008802030796922,0.0023957059948526366,0.002649734493917458,-0.0005488542908377659,62,43490,5535,18,21,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,MPNet-content,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
English,language,CLIP-image-content,0.9903236140877196,0.9691493129100534,0.963947204503013,0.021174301177666277,14831,14350411,1793593,400,7899,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,CLIP-image-content,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
French,language,CLIP-image-content,0.010023772816640663,0.02454738962414365,0.027993474752616362,-0.017969701935975697,1105,454770,56896,103,105,0.6728132561038199,0.3271867438961801,True,
Japanese,language,CLIP-image-content,0.020988025902745643,0.013399049674318582,0.009780500305186094,0.007588976228427061,574,239228,29976,54,203,0.6728132561038199,0.3271867438961801,True,
Spanish,language,CLIP-image-content,0.009388128860911416,0.021821248494702853,0.01704030725162341,-0.012433119633791437,542,324535,40348,71,105,0.6728132561038199,0.3271867438961801,True,
Italian,language,CLIP-image-content,9.089071997134707e-05,0.01123042950150817,0.012990863171595222,-0.012899972451623875,465,191051,24104,46,1,0.6728132561038199,0.3271867438961801,True,
German,language,CLIP-image-content,0.019298309273527024,0.015225637869118019,0.017124113163996913,0.0021741961095301104,534,278263,34759,69,187,0.6728132561038199,0.3271867438961801,True,
Korean,language,CLIP-image-content,0.0,0.00047549069715123145,6.424778761061947e-05,-0.00047549069715123145,152,17434,2173,2,0,0.6728132561038199,0.3271867438961801,True,
Russian,language,CLIP-image-content,0.006011627348419375,0.0056296219394734,0.004821149802460398,0.00038200540894597554,225,126389,15859,31,64,0.6728132561038199,0.3271867438961801,True,
Cantonese,language,CLIP-image-content,0.0,0.0011272892802239491,0.0018543806234601794,-0.0018543806234601794,138,35800,4516,10,0,0.6728132561038199,0.3271867438961801,True,
Hindi,language,CLIP-image-content,0.0,0.0010074760109972148,0.0006232364634228669,-0.0010074760109972148,125,16793,2168,6,0,0.6728132561038199,0.3271867438961801,True,
Swedish,language,CLIP-image-content,0.0,0.0007279569222875987,0.0014182373835511988,-0.0014182373835511988,132,24210,3064,11,0,0.6728132561038199,0.3271867438961801,True,
Finnish,language,CLIP-image-content,0.0,4.1871400951033225e-05,3.90625e-05,-4.1871400951033225e-05,88,7032,856,1,0,0.6728132561038199,0.3271867438961801,True,
Mandarin,language,CLIP-image-content,0.0,0.0023794106834011813,0.0024160919654138153,-0.0024160919654138153,87,45456,5797,16,0,0.6728132561038199,0.3271867438961801,True,
Danish,language,CLIP-image-content,0.0,7.739938080495356e-06,0.00025833333333333334,-0.00025833333333333334,75,9394,1126,2,0,0.6728132561038199,0.3271867438961801,True,
Portuguese,language,CLIP-image-content,0.0,0.00034684595886481755,3.205128205128205e-05,-0.00034684595886481755,76,10683,1297,1,0,0.6728132561038199,0.3271867438961801,True,
Persian,language,CLIP-image-content,0.0,1.736111111111111e-05,6.578947368421052e-05,-6.578947368421052e-05,67,8836,1072,1,0,0.6728132561038199,0.3271867438961801,True,
Dutch,language,CLIP-image-content,0.0,0.0003304224787657218,0.0006426906426906427,-0.0006426906426906427,60,5040,625,4,0,0.6728132561038199,0.3271867438961801,True,
Polish,language,CLIP-image-content,0.0,0.000405264519110742,0.0005271231132933261,-0.0005271231132933261,55,8345,1061,4,0,0.6728132561038199,0.3271867438961801,True,
Standard Chinese,language,CLIP-image-content,0.0,0.0023957059948526366,0.002649734493917458,-0.002649734493917458,62,43490,5535,18,0,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,CLIP-image-content,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
English,language,Hybrid,0.9867424003700261,0.9691493129100534,0.963947204503013,0.01759308745997279,14831,14350411,1793593,400,7880,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,Hybrid,9.089071997134707e-05,0.00021633807314990668,0.0004926887432895322,-0.0004017980233181851,8925,18713,2397,7,1,0.6728132561038199,0.3271867438961801,True,
French,language,Hybrid,0.02251326339576677,0.02454738962414365,0.027993474752616362,-0.005480211356849594,1105,454770,56896,103,198,0.6728132561038199,0.3271867438961801,True,
Japanese,language,Hybrid,0.004824811102858175,0.013399049674318582,0.009780500305186094,-0.008574238571460406,574,239228,29976,54,40,0.6728132561038199,0.3271867438961801,True,
Spanish,language,Hybrid,0.018937822978796693,0.021821248494702853,0.01704030725162341,-0.00288342551590616,542,324535,40348,71,168,0.6728132561038199,0.3271867438961801,True,
Italian,language,Hybrid,0.01122619937359977,0.01123042950150817,0.012990863171595222,-0.0017646637979954524,465,191051,24104,46,88,0.6728132561038199,0.3271867438961801,True,
German,language,Hybrid,0.014524710750127245,0.015225637869118019,0.017124113163996913,-0.0025994024138696684,534,278263,34759,69,134,0.6728132561038199,0.3271867438961801,True,
Korean,language,Hybrid,0.00018283702716062868,0.00047549069715123145,6.424778761061947e-05,-0.00029265366999060274,152,17434,2173,2,2,0.6728132561038199,0.3271867438961801,True,
Russian,language,Hybrid,0.009089223988699702,0.0056296219394734,0.004821149802460398,0.0034596020492263027,225,126389,15859,31,82,0.6728132561038199,0.3271867438961801,True,
Cantonese,language,Hybrid,0.0,0.0011272892802239491,0.0018543806234601794,-0.0018543806234601794,138,35800,4516,10,0,0.6728132561038199,0.3271867438961801,True,
Hindi,language,Hybrid,0.0008074970963587703,0.0010074760109972148,0.0006232364634228669,-0.0001999789146384446,125,16793,2168,6,9,0.6728132561038199,0.3271867438961801,True,
Swedish,language,Hybrid,0.0,0.0007279569222875987,0.0014182373835511988,-0.0014182373835511988,132,24210,3064,11,0,0.6728132561038199,0.3271867438961801,True,
Finnish,language,Hybrid,0.0,4.1871400951033225e-05,3.90625e-05,-4.1871400951033225e-05,88,7032,856,1,0,0.6728132561038199,0.3271867438961801,True,
Mandarin,language,Hybrid,0.0034796884339865775,0.0023794106834011813,0.0024160919654138153,0.0010635964685727622,87,45456,5797,16,33,0.6728132561038199,0.3271867438961801,True,
Danish,language,Hybrid,0.0,7.739938080495356e-06,0.00025833333333333334,-0.00025833333333333334,75,9394,1126,2,0,0.6728132561038199,0.3271867438961801,True,
Portuguese,language,Hybrid,0.0,0.00034684595886481755,3.205128205128205e-05,-0.00034684595886481755,76,10683,1297,1,0,0.6728132561038199,0.3271867438961801,True,
Persian,language,Hybrid,0.0,1.736111111111111e-05,6.578947368421052e-05,-6.578947368421052e-05,67,8836,1072,1,0,0.6728132561038199,0.3271867438961801,True,
Dutch,language,Hybrid,0.0,0.0003304224787657218,0.0006426906426906427,-0.0006426906426906427,60,5040,625,4,0,0.6728132561038199,0.3271867438961801,True,
Polish,language,Hybrid,0.0,0.000405264519110742,0.0005271231132933261,-0.0005271231132933261,55,8345,1061,4,0,0.6728132561038199,0.3271867438961801,True,
Standard Chinese,language,Hybrid,0.0034796884339865775,0.0023957059948526366,0.002649734493917458,0.0008299539400691194,62,43490,5535,18,33,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,Hybrid,9.089071997134707e-05,0.00021633807314990668,0.0004926887432895322,-0.0004017980233181851,8925,18713,2397,7,1,0.6728132561038199,0.3271867438961801,True,
